Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Colorful,CN600,x4 PCIe 3.0/NVMe,M.2,128GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000,1600,Entry-Level NVMe,Alt: Maxio MAP1202 + YMTC
Colorful,CN600,x4 PCIe 3.0/NVMe,M.2,256GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000,1600,Entry-Level NVMe,Alt: Maxio MAP1202 + YMTC
Colorful,CN600,x4 PCIe 3.0/NVMe,M.2,512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000,1600,Entry-Level NVMe,Alt: Maxio MAP1202 + YMTC
Colorful,CN600 Pro,x4 PCIe 3.0/NVMe,M.2,256GB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400,3100,Mid-Range NVMe,
Colorful,CN600 Pro,x4 PCIe 3.0/NVMe,M.2,512GB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400,3100,Mid-Range NVMe,
Colorful,CN600 Pro,x4 PCIe 3.0/NVMe,M.2,1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400,3100,Mid-Range NVMe,
Colorful,CN700,x4 PCIe 4.0/NVMe,M.2,512GB,Maxio MAP1602,"Dual R5, 4x4",No,Yes,YMTC,TLC,128,5000,4500,Mid-Range NVMe,
Colorful,CN700,x4 PCIe 4.0/NVMe,M.2,1TB,Maxio MAP1602,"Dual R5, 4x4",No,Yes,YMTC,TLC,128,5000,4500,Mid-Range NVMe,
Colorful,CN700,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1602,"Dual R5, 4x4",No,Yes,YMTC,TLC,128,5000,4500,Mid-Range NVMe,
Colorful,SL500,SATA/AHCI,"2.5""",240GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500,400,Entry-Level SATA,
Colorful,SL500,SATA/AHCI,"2.5""",480GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500,400,Entry-Level SATA,
Colorful,SL500,SATA/AHCI,"2.5""",960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500,400,Entry-Level SATA,
