System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),,Notes
Third-Party,Sigma,Full frame,Prime,,E,Sigma 14mm F1.4 DG DN | Art,,14,14,1.4,N/A,30,101.4,3.99,151.9,5.98,1160,40.92,No,,,,1599,2023,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 14mm F1.8 DG HSM | Art,,14,14,1.8,N/A,27,95.4,3.76,152,5.98,1170,41.27,No,,,,1599,2017,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 15mm F1.4 DG DN Diagonal Fisheye | Art,,15,15,1.4,N/A,38.5,104,4.09,159.9,6.3,1360,47.97,No,,,,1999,2024,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 17mm F4 DG DN | Contemporary (I series),,17,17,4,55,12,64,2.52,50.8,2,220,7.76,No,,,,599,2023,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 20mm F1.4 DG DN | Art,,20,20,1.4,82,23,87.8,3.46,113.2,4.46,630,22.22,No,,,,899,2022,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 20mm F1.4 DG HSM | Art,,20,20,1.4,N/A,27.6,90.7,3.57,155.8,6.13,1015,35.8,No,,,,899,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 20mm F2 DG DN | Contemporary (I series),,20,20,2,62,22,70,2.76,74.4,2.93,370,13.05,No,,,,699,2022,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 24mm F1.4 DG DN | Art,,24,24,1.4,72,25,75.7,2.98,97.5,3.84,510,17.99,No,,,,799,2022,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 24mm F1.4 DG HSM | Art,,24,24,1.4,77,25,85.4,3.36,116.2,4.57,740,26.1,No,,,,799,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 24mm F2 DG DN | Contemporary (I series),,24,24,2,62,24.5,70,2.76,74,2.91,360,12.7,No,,,,639,2021,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 24mm F3.5 DG DN | Contemporary (I series),,24,24,3.5,55,10.8,64,2.52,50.8,2,230,8.11,No,,,,549,2020,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 28mm F1.4 DG HSM | Art,,28,28,1.4,77,28,82.8,3.26,133.7,5.26,925,32.63,No,,,,799,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 35mm F1.2 DG DN | Art,,35,35,1.2,82,30,87.8,3.46,138.2,5.44,1080,38.1,No,,,,1499,2019,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 35mm F1.4 DG HSM | Art,,35,35,1.4,67,30,77,3.03,120,4.72,755,26.63,No,,,,899,,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 35mm F1.4 DG DN | Art,,35,35,1.4,67,30,75.5,2.97,111.5,4.39,640,22.58,No,,,,899,2021,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 35mm F2 DG DN | Contemporary (I series),,35,35,2,58,27,70,2.76,67.4,2.65,325,11.46,No,,,,639,2020,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 40mm F1.4 DG HSM | Art,,40,40,1.4,82,40,87.8,3.46,157,6.18,1260,44.45,No,,,,1399,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 45mm F2.8 DG DN | Contemporary (I series),,45,45,2.8,55,24,64,2.52,48.2,1.9,230,8.11,No,,,,549,2019,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 50mm F1.2 DG DN | Art,,50,50,1.2,72,40,81,3.19,110.8,4.36,740,26.1,No,,,,1399,2024,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 50mm F1.4 DG HSM | Art,,50,50,1.4,77,40,85.4,3.36,149.5,5.89,815,28.75,No,,,,949,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 50mm F1.4 DG DN | Art,,50,50,1.4,72,45,81,3.19,109.8,4.32,670,23.63,No,,,,849,2023,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 50mm F2 DG DN | Contemporary (I series),,50,50,2,58,45,70,2.76,68,2.68,350,12.35,No,,,,639,2023,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 65mm F2 DG DN | Contemporary (I series),,65,65,2,62,55,72,2.83,74.7,2.94,405,14.29,No,,,,699,2020,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 85mm F1.4 DG HSM | Art,,85,85,1.4,86,85,94.7,3.73,126.2,4.97,1130,39.86,No,,,,1199,2018,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 85mm F1.4 DG DN | Art,,85,85,1.4,77,85,82.8,3.26,96.1,3.78,630,22.22,No,,,,1099,2020,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 90mm F2.8 DG DN | Contemporary (I series),,90,90,2.8,55,50,64,2.52,59.7,2.35,295,10.41,No,,,,699,2021,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 105mm F2.8 DG DN Macro | Art,,105,105,2.8,62,29.5,74,2.91,133.9,5.27,710,25.04,No,,,,799,2020,
Third-Party,Sigma,Full frame,Prime,,E,Sigma 135mm F1.8 DG HSM | Art,,135,135,1.8,N/A,87.5,91.4,3.6,114.9,4.52,1130,39.86,No,,,,1399,2017,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 14-24mm F2.8 DG DN | Art,,14,24,2.8,N/A,28,85,3.35,133,5.24,1150,40.57,No,,,,1499,2021,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 16-28mm F2.8 DG DN | Contemporary,,16,28,2.8,72,25,77.2,3.04,100.6,3.96,450,15.87,No,,,,1099,2022,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 24-35mm F2 DG HSM | Art,,24,35,2,82,28,87.6,3.45,122.7,4.83,940,33.16,No,,,,999,2015,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 24-70mm F2.8 DG DN | Art,,24,70,2.8,82,18,87.8,3.46,122.9,4.84,830,29.28,No,,,,1099,2022,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 24-70mm F2.8 DG OS HSM | Art,,24,70,2.8,82,37,88,3.46,107.6,4.24,1020,35.98,Yes,,,,1299,,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 28-45mm F1.8 DG DN | Art,,28,45,1.8,82,30,87.8,3.46,153.4,6.04,960,33.86,No,,,,1349,2024,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 28-70mm F2.8 DG DN | Contemporary,,28,70,2.8,67,19,72.2,2.84,103.5,4.07,470,16.58,No,,,,799,2021,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 60-600mm F4.5-6.3 DG DN OS | Sports,,60,600,4.5,105,45,105.4,4.15,268.9,10.59,2485,87.69,Yes,,,,2499,2023,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 100-400mm F5-6.3 DG DN OS | Contemporary,,100,400,5,67,112,86,3.39,197.2,7.76,1140,40.21,Yes,,,,949,2020,
Third-Party,Sigma,Full frame,Zoom,,E,Sigma 150-600mm F5-6.3 DG DN OS | Sports,,150,600,5,N/A,280,107.2,4.22,263.6,10.38,2100,74.08,Yes,,,,1499,2021,
Third-Party,Tamron,Full frame,Prime,,E,Tamron 35mm F/2.8 Di III OSD M1:2,,35,35,2.8,67,15,73,2.87,64,2.52,210,7.41,No,,,,349,2019,
Third-Party,Tamron,Full frame,Prime,,E,Tamron SP 35mm F/1.4 Di USD,,35,35,1.4,72,30,80.9,3.19,104.4,4.11,815,28.75,No,,,,899,2019,
Third-Party,Tamron,Full frame,Prime,,E,Tamron 70-210mm F/4 Di VC USD,,70,210,4,67,95,76.6,3.02,174,6.85,860,30.34,Yes,,,,799,2018,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 17-28mm F/2.8 Di III RXD,,17,28,2.8,67,19,73,2.87,99,3.9,420,14.82,No,,,,799,2019,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 20-40mm F/2.8 Di III VXD,,20,40,2.8,67,17,74.4,2.93,86.5,3.4,365,12.87,No,,,,699,2022,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 28-200mm F/2.8-5.6 Di III RXD,,28,200,2.8,67,19,74,2.91,117,4.61,575,20.28,No,,,,729,2020,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 28-300mm F/4-7.1 Di III VC VXD,,28,300,4,67,19,78,3.07,126,4.96,610,21.52,Yes,,,,899,2024,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 35-150mm F/2-2.8 Di III VXD,,35,150,2,82,33,89.2,3.51,158,6.22,1165,41.1,No,,,,1899,2021,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 50-300mm F/4.5-6.3 Di III VC VXD,,50,300,4.5,67,22,78,3.07,156,6.14,665,23.46,Yes,,,,799,2024,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 50-400mm F/4.5-6.3 Di III VC VXD,,50,400,4.5,67,25,88.5,3.48,183.4,7.22,1155,40.74,Yes,,,,1299,2022,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 70-180mm F/2.8 Di III VXD,,70,180,2.8,67,85,81,3.19,149,5.87,810,28.57,No,,,,1199,2020,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 70-180mm F/2.8 Di III VC VXD G2,,70,180,2.8,67,85,83,3.27,156.5,6.16,855,30.16,Yes,,,,1299,2023,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 70-200mm F/2.8 Di III RXD,,70,200,2.8,77,95,88.4,3.48,193.3,7.61,1505,53.09,No,,,,1799,,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 70-300mm F/4.5-6.3 Di III RXD,,70,300,4.5,67,80,77,3.03,148,5.83,545,19.22,No,,,,549,2020,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 150-500mm F/5-6.7 Di III VC VXD,,150,500,5,82,60,93,3.66,209.6,8.25,1725,60.85,Yes,,,,1399,2021,
Third-Party,Tamron,Full frame,Zoom,,E,Tamron 300mm F/2.8 Di III VC VXD,,300,300,2.8,112,270,116,4.57,236,9.29,1470,51.85,Yes,,,,2999,2024,
Third-Party,TTArtisan,Full frame,Prime,,E,TTArtisan AF 75mm F2,,75,75,2,62,75,,,82,3.23,340,11.99,No,,,,199,2024,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 16mm F1.8 FE,,16,16,1.8,N/A,27,85.2,3.35,103,4.06,550,19.4,No,,,,549,2023,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 20mm F2.8 FE,,20,20,2.8,52,19,65,2.56,60.5,2.38,157,5.54,No,,,,158,2024,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 28mm F1.8 FE,,28,28,1.8,55,35,70,2.76,101,3.98,367,12.95,No,,,,379,2023,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 35mm F1.4 LAB FE,,35,35,1.4,77,42,92.2,3.63,109.4,4.31,665,23.46,No,,,,899,2024,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 35mm F1.8 FE,,35,35,1.8,55,40,70,2.76,91,3.58,310,10.93,No,,,,379,2023,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 50mm F1.4 Air FE,,50,50,1.4,67,45,74,2.91,93.2,3.67,425,14.99,No,,,,329,2024,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 85mm F1.8 Mark II FE,,85,85,1.8,72,80,80,3.15,92,3.62,545,19.22,No,,,,448,2023,
Third-Party,Viltrox,Full frame,Prime,,E,Viltrox AF 135mm F1.8 LAB FE,,135,135,1.8,82,70,93.4,3.68,131,5.16,1050,37.04,No,,,,1399,2024,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Batis 2/25,,25,25,2,67,20,92,3.62,81,3.19,335,11.82,No,,,,1299,2015,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Batis 2.8/18,,18,18,2.8,77,25,95,3.74,99,3.9,330,11.64,No,,,,1499,2016,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Batis 2.8/135,,135,135,2.8,77,87,98,3.86,120,4.72,614,21.66,Yes,,,,1999,2017,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Batis 1.8/85,,85,85,1.8,67,80,92,3.62,82,3.23,475,16.76,No,,,,1199,2015,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Batis 2.8/40 CF,,40,40,2.8,67,24,87,3.43,92,3.62,361,12.73,No,,,,1299,2018,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Loxia 2.8/21,,21,21,2.8,52,25,62.4,2.46,87,3.43,394,13.9,No,,,,1499,2015,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Loxia 2.4/25,,25,25,2.4,52,30,62.4,2.46,75,2.95,393,13.86,No,,,,1299,2016,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Loxia 2/35,,35,35,2,52,30,62.4,2.46,89,3.5,280,9.88,No,,,,1199,2014,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Loxia 2/50,,50,50,2,52,45,62.4,2.46,66,2.6,320,11.29,No,,,,949,2014,
Third-Party,Zeiss,Full frame,Prime,,E,Zeiss Loxia 2.4/85,,85,85,2.4,52,80,62.4,2.46,94,3.7,428,15.1,No,,,,1449,2016,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 10mm F5.6 Hyper Wide Heliar Asph III,,10,10,5.6,,,70.1,2.76,68.1,2.68,362,12.77,No,,,,799,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 12mm F5.6 Ultra Wide Heliar Asph III,,12,12,5.6,,,74.6,2.94,58.2,2.29,287,10.12,No,,,,649,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 15mm F4.5 Super Wide Heliar Asph III,,15,15,4.5,,,74.6,2.94,62.3,2.45,247,8.71,No,,,,649,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 21mm F3.5 Color-Skopar Asph,,21,21,3.5,,,74.6,2.94,40.9,1.61,230,8.11,No,,,,549,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 35mm F1.7 Ultron,,35,35,1.7,,,63.3,2.49,55.2,2.17,260,9.17,No,,,,649,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 40mm F1.2 Nokton Asph,,40,40,1.2,,,70.1,2.76,59.3,2.33,315,11.11,No,,,,799,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 50mm F1.0 Nokton,,50,50,1.0,,,79.4,3.13,66.6,2.62,650,22.93,No,,,,1799,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 50mm F1.2 Nokton Asph,,50,50,1.2,,,70.1,2.76,68.2,2.69,352,12.42,No,,,,999,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 50mm F2.0 APO-Lanthar Asph,,50,50,2.0,,,63.3,2.49,51.9,2.04,288,10.16,No,,,,1049,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 65mm F2.0 Macro APO-Lanthar,,65,65,2.0,,,76.8,3.02,91.3,3.6,340,11.99,No,,,,799,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 75mm F1.5 Nokton,,75,75,1.5,,,74.6,2.94,73.1,2.88,525,18.52,No,,,,899,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 90mm F2.8 Macro APO-Lanthar,,90,90,2.8,,,74.6,2.94,74.3,2.93,346,12.21,No,,,,799,,
Third-Party,Voigtlander,Full frame,Prime,,E,Voigtlander 110mm F2.5 Macro APO-Lanthar,,110,110,2.5,,,78.4,3.09,100.3,3.95,770,27.16,No,,,,1099,,
Third-Party,Laowa,Full frame,Zoom,,E,Laowa 12-24mm F5.6 Zoom Shift,,12,24,5.6,77,20,100,3.94,91,3.58,575,20.28,No,,,,649,2021,
Third-Party,Tokina,Full frame,Zoom,,E,Tokina SZX SUPER TELE 400mm F8 Reflex MF,,400,400,8,77,1.15,74,2.91,77,3.03,330,11.64,No,,,,249,,
