Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
Antec P30 AIR,ATX Mid Tower,Black,None,Tempered Glass,49.3,2,0,67.99
Thermaltake View 380 ARGB,ATX Mid Tower,Black,None,Tinted Tempered Glass,51.6,1,2,74.99
Lian Li A4-H20 A4,Mini ITX Desktop,Silver / Black,None,Mesh,11.1,0,35,
Lian Li PC-O11 Dynamic,ATX Full Tower,White,None,Tempered Glass,54,3,140,
KOLINK STRONGHOLD,ATX Mid Tower,White / Black,None,Tempered Glass,,3,1,
Jonsbo D32 PRO MESH,MicroATX Desktop,,None,Mesh,25.7,2,3,74.98
Fractal Design Meshify 2 XL,ATX Full Tower,Black,None,Tinted Tempered Glass,81.5,6,5,219.99
Zalman T3 PLUS,MicroATX Mid Tower,Black,None,Tempered Glass,30.9,1,2,39.99
Antec C8 Curve Wood,ATX Full Tower,Black / Brown,None,Tempered Glass,66.9,1,5,149.99
Thermaltake TR100,Mini ITX Desktop,Black,None,Mesh,20.6,0,0,109.99
Fractal Design Pop Air RGB,ATX Mid Tower,Black,None,Tempered Glass,46.2,2,35,99.99
Fractal Design Focus 2,ATX Mid Tower,Black,None,Tempered Glass,45.8,2,7,74.98
MSI MAG FORGE 320R AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,49.4,2,2,
Cooler Master HAF 700 EVO,ATX Full Tower,Gray / Black,None,Tempered Glass,,12,2,482.99
Corsair 3500X CALL OF DUTY BLACK OPS 6 EDITION,ATX Mid Tower,Black / Orange,None,Tempered Glass,55.9,2,0,
MSI MAG FORGE 100R,ATX Mid Tower,Black,None,Tempered Glass,,2,26,330.51
Thermaltake S100 Snow Edition,MicroATX Mini Tower,White / Black,None,Tempered Glass,,2,19,39.64
Fractal Design North,ATX Mid Tower,White,None,Mesh,45.1,2,18,151.06
DIYPC ARGB-N5,ATX Mid Tower,Black,None,Tempered Glass,,2,0,58.97
SAMA 3509,ATX Mid Tower,White,None,Tempered Glass,41.4,2,1,54.99
Asus ProArt PA602,ATX Mid Tower,Black,None,Tempered Glass,81.4,4,6,299.99
