System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Current Price,,Notes,Launch Year,Launch Price (USD),Source URL
Sony,Sigma,Prime,01/12/2020,,E,65mm F2 DG DN | Contemporary (I series),01/12/2020,65,2,,62,,72,,76.7,,405,,No,,,,,01/12/2020,,2020,700,https://www.sigma-global.com
Sony,Sigma,Prime,01/08/2018,,E,70mm F2.8 DG Macro | Art,01/08/2018,70,2.8,,49,,70.8,,131.8,,570,,No,,,,,01/08/2018,,2018,570,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2018,,E,85mm F1.4 DG HSM | Art,01/02/2018,85,1.4,,86,,94.7,,152.2,,1210,,No,,,,,01/02/2018,,2025,1800,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/08/2020,,E,85mm F1.4 DG DN | Art,01/08/2020,85,1.4,,77,,82.8,,96.1,,625,,No,,,,,01/08/2020,,2025,1800,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/09/2021,,E,90mm F2.8 DG DN | Contemporary (I series),01/09/2021,90,2.8,,55,,64,,61.7,,295,,No,,,,,01/09/2021,,2021,650,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2018,,E,105mm F1.4 DG HSM | Art,01/02/2018,105,1.4,,105,,115.9,,157.5,,1720,,No,,,,,01/02/2018,,2018,1600,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2020,,E,105mm F2.8 DG DN Macro | Art,01/09/2020,105,2.8,,62,,74,,135.6,,710,,No,,,,,01/09/2020,,2020,800,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2025,,E,135mm F1.4 DG | Art,01/09/2025,135,1.4,,105,,111.7,,137.5,,1420,,No,,,,,01/09/2025,,2025,2000,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2017,,E,135mm F1.8 DG HSM | Art,01/02/2017,135,1.8,,82,,91.4,,140.9,,1200,,No,,,,,01/02/2017,,2017,1400,https://www.sigma-global.com
Sony,Sigma,Prime,01/08/2025,,E,200mm F2 DG OS | Sports,01/08/2025,200,2,,105,,118.9,,203.0,,1800,,Yes,,,,,01/08/2025,,2025,3500,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2024,,E,500mm F5.6 DG DN OS | Sports,01/02/2024,500,5.6,,95,,107.6,,236.6,,1365,,Yes,,,,,01/02/2024,,2024,3000,https://www.sigma-global.com
Sony,Sirui,Prime,01/11/2025,,E,Astra Series 1.33x Anamorphic 50mm T1.8,01/11/2025,50,T1.8,,67,,72,,131,,620,,No,,,,,01/11/2025,,2025,800,https://www.sirui.com
Sony,Sirui,Prime,01/11/2025,,E,Astra Series 1.33x Anamorphic 75mm T1.8,01/11/2025,75,T1.8,,67,,72,,131,,650,,No,,,,,01/11/2025,,2025,800,https://www.sirui.com
Sony,Sirui,Prime,01/10/2024,,E,Aurora Series 85mm F1.4,01/10/2024,85,1.4,,67,,80.3,,102,,540,,No,,,,,01/10/2024,,2024,600,https://www.sirui.com
Sony,Sirui,Prime,01/11/2025,,E,Astra Series 1.33x Anamorphic 100mm T1.8,01/11/2025,100,T1.8,,67,,72,,135.3,,700,,No,,,,,01/11/2025,,2025,800,https://www.sirui.com
